recorded,ds1,mf1,rf1,ds2,mf2,rf2,ds3,mf3,rf3,num_neg,num_pos
2021-02-24 00:29,7.457630622,2.360518629,2.078910384,9.054839065,2.791749339,2.534584436,1.956996804,0.695891204,0.621638007,19,32
2021-02-24 00:59,8.398963845,2.205279983,1.891093474,9.211695326,2.469664903,2.203847002,2.359634039,0.682760141,0.613161376,7,12
2021-02-24 01:29,5.221781305,1.800815697,1.573082011,6.520833334,2.182870371,2.023037919,1.43595679,0.527777778,0.456018519,8,18
2021-02-24 01:59,4.638657407,1.277083333,1.103472222,5.339814815,1.440972222,1.294907407,0.878240741,0.264814815,0.237037037,2,12
2021-02-24 02:29,2.11712963,0.594907408,0.523611111,3.643518519,1.022222222,0.943518518,0.444444444,0.125925926,0.111111111,9,8
2021-02-24 02:59,2.031018518,0.564351852,0.497222222,3.607407407,1.000925926,0.912037037,0.277777778,0.077777778,0.074074074,10,13
2021-02-24 03:29,3.953703704,0.836111111,0.748148148,4.051851852,1.037962963,0.937962963,0.698148148,0.172222222,0.15,7,18
2021-02-24 03:59,4.025925926,0.940740741,0.825925926,5.196296296,1.248148148,1.118518518,0.848148148,0.233333333,0.192592592,7,5
2021-02-24 04:29,5.033333333,1.255555556,1.066666667,7.662962964,1.744444445,1.555555555,2.725925926,0.622222222,0.503703703,16,11
2021-02-24 04:59,15.23395062,4.438888889,3.811419753,14.03055556,3.97345679,3.541975309,7.045370371,1.989506173,1.721604938,14,20
2021-02-24 05:29,20.45370371,6.936728396,6.064814815,18.47685186,6.231481482,5.620370371,10.25617284,3.529320988,3.030864198,12,16
2021-02-24 05:59,34.7191358,13.64506173,12.50925926,29.73765432,11.57098765,10.84259259,20.47530864,7.833333333,7.12654321,11,13
2021-02-24 06:29,45.89814815,18.82407407,17.81481482,44.24074074,17.71604938,17.08950617,32.18518518,12.99074074,12.33024691,6,6
2021-02-24 06:59,66.85686728,29.01736111,28.6396605,63.76041667,27.75925926,27.61651235,54.75,23.93171297,23.3587963,13,13
2021-02-24 07:29,81.10185185,36.07407407,38.5462963,78.11111111,34.90740741,37.62962963,69.18518519,30.56481482,32.90740741,11,18
2021-02-24 07:59,90.22222222,34.11111111,43.98280424,87.01455026,31.88888889,42.87962963,82.86640212,29.26587302,40.41798942,20,17
2021-02-24 08:29,86.09953704,30.59044313,41.91021826,83.97519842,29.41435186,41.41732805,77.20469577,26.82705027,37.23941799,13,15
2021-02-24 08:59,78.38888889,32.49074074,37.81481482,70.63888889,30.41666667,34.62962963,61.81481482,25.71296297,29.74074074,15,15
2021-02-24 09:29,70.63938492,31.03378528,31.83112875,63.38993607,28.7541336,29.01840829,45.72944224,20.05483907,19.93755511,17,25
2021-02-24 09:59,73.25810185,33.07060186,35.56944445,67.37847223,31.94907408,33.43055556,48.46990741,22.0462963,22.77314815,16,19
2021-02-24 10:29,60.80246914,27.09259259,26.84567902,54.51851852,24.87345679,24.65432099,36.29320988,16.40740741,16,22,19
2021-02-24 10:59,64.94664903,25.14241623,25.12389771,60.54100529,23.81834215,23.79673722,41.27689595,15.78747796,15.63712522,10,13
